---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:41 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.afpacket.polls                                       | Total                     | 467
capture.afpacket.poll_timeout                                | Total                     | 461
capture.afpacket.poll_data                                   | Total                     | 6
decoder.pkts                                                 | Total                     | 78
decoder.bytes                                                | Total                     | 23944
decoder.ipv4                                                 | Total                     | 78
decoder.ethernet                                             | Total                     | 78
decoder.tcp                                                  | Total                     | 78
tcp.syn                                                      | Total                     | 5
tcp.synack                                                   | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 306
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 5
flow.total                                                   | Total                     | 5
flow.active                                                  | Total                     | 5
flow.tcp                                                     | Total                     | 5
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 4
tcp.sessions                                                 | Total                     | 5
tcp.ssn_from_pool                                            | Total                     | 5
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 23
app_layer.flow.http                                          | Total                     | 5
app_layer.tx.http                                            | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9600
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 952320
http.memuse                                                  | Total                     | 1680
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:49 (uptime: 0d, 00h 00m 16s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 88
capture.afpacket.polls                                       | Total                     | 1192
capture.afpacket.poll_timeout                                | Total                     | 1175
capture.afpacket.poll_data                                   | Total                     | 17
decoder.pkts                                                 | Total                     | 104
decoder.bytes                                                | Total                     | 25660
decoder.ipv4                                                 | Total                     | 104
decoder.ethernet                                             | Total                     | 104
decoder.tcp                                                  | Total                     | 104
tcp.syn                                                      | Total                     | 5
tcp.synack                                                   | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 246
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 5
flow.total                                                   | Total                     | 18
flow.active                                                  | Total                     | 18
flow.tcp                                                     | Total                     | 18
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 5
tcp.ssn_from_pool                                            | Total                     | 5
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 23
app_layer.flow.http                                          | Total                     | 5
app_layer.tx.http                                            | Total                     | 5
flow.mgr.full_hash_pass                                      | Total                     | 1
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 6
flow.mgr.flows_notimeout                                     | Total                     | 6
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 952320
http.memuse                                                  | Total                     | 1680
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:57 (uptime: 0d, 00h 00m 24s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 104
capture.afpacket.polls                                       | Total                     | 1699
capture.afpacket.poll_timeout                                | Total                     | 1682
capture.afpacket.poll_data                                   | Total                     | 17
decoder.pkts                                                 | Total                     | 104
decoder.bytes                                                | Total                     | 25660
decoder.ipv4                                                 | Total                     | 104
decoder.ethernet                                             | Total                     | 104
decoder.tcp                                                  | Total                     | 104
tcp.syn                                                      | Total                     | 5
tcp.synack                                                   | Total                     | 5
decoder.avg_pkt_size                                         | Total                     | 246
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 5
flow.total                                                   | Total                     | 18
flow.active                                                  | Total                     | 18
flow.tcp                                                     | Total                     | 18
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 5
tcp.ssn_from_pool                                            | Total                     | 5
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 23
app_layer.flow.http                                          | Total                     | 5
app_layer.tx.http                                            | Total                     | 5
flow.mgr.full_hash_pass                                      | Total                     | 2
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 14
flow.mgr.flows_notimeout                                     | Total                     | 14
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 968704
http.memuse                                                  | Total                     | 2352
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:05 (uptime: 0d, 00h 00m 32s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 144
capture.afpacket.polls                                       | Total                     | 2397
capture.afpacket.poll_timeout                                | Total                     | 2367
capture.afpacket.poll_data                                   | Total                     | 30
decoder.pkts                                                 | Total                     | 158
decoder.bytes                                                | Total                     | 39849
decoder.ipv4                                                 | Total                     | 158
decoder.ethernet                                             | Total                     | 158
decoder.tcp                                                  | Total                     | 158
tcp.syn                                                      | Total                     | 7
tcp.synack                                                   | Total                     | 7
decoder.avg_pkt_size                                         | Total                     | 252
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 7
flow.total                                                   | Total                     | 20
flow.active                                                  | Total                     | 20
flow.tcp                                                     | Total                     | 20
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 7
tcp.ssn_from_pool                                            | Total                     | 7
tcp.segment_from_cache                                       | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 34
app_layer.flow.http                                          | Total                     | 7
app_layer.tx.http                                            | Total                     | 7
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 19
flow.mgr.flows_notimeout                                     | Total                     | 19
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 968704
http.memuse                                                  | Total                     | 2352
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
